Id,price,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month
2010,191,N/A,N/A,N/A,f,1,t,-33.92295163,151.1907543,Apartment,Entire home/apt,8,2,3,6,Real Bed,0,150,6,50,1,1125,27,95,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,0.82
2011,137,N/A,N/A,N/A,f,1,t,-33.87170706,151.225349,Apartment,Entire home/apt,2,1,0,1,Real Bed,200,80,1,0,2,1125,102,94,9,9,9,10,10,9,f,strict_14_with_grace_period,f,f,1.97
2012,275,within an hour,1,0.9,f,1,f,-33.83726574,151.2086774,Apartment,Entire home/apt,6,2,3,4,Real Bed,500,310,1,0,3,1125,84,95,10,9,10,9,10,9,f,strict_14_with_grace_period,f,f,3.21
2013,325,within an hour,1,1,t,2,f,-33.86924966,151.1983952,Apartment,Entire home/apt,8,2,3,3,Real Bed,500,80,6,30,1,30,92,95,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,5.91
2014,300,within an hour,1,0.33,f,1,t,-33.73605246,151.1645724,House,Entire home/apt,7,3,4,4,Real Bed,0,100,1,0,3,1125,3,93,10,8,10,10,9,9,t,moderate,f,f,0.08
2015,251,within an hour,1,0.82,f,1,t,-33.70986674,151.2882545,House,Entire home/apt,5,1,3,3,Real Bed,0,120,1,0,3,1125,10,100,10,10,10,10,10,10,t,flexible,f,f,0.26
2016,129,within an hour,1,0.99,t,2,f,-33.8938725,151.186859,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,60,1,0,2,30,269,96,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,4.6
2017,50,N/A,N/A,N/A,f,1,t,-33.89338476,151.2587811,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,2,1125,6,93,10,9,10,10,10,10,t,flexible,f,f,0.3
2018,60,N/A,N/A,N/A,f,1,t,-33.88369861,151.2721581,Apartment,Private room,2,1,1,1,Real Bed,,20,1,0,2,1125,5,88,9,8,10,10,10,9,f,flexible,f,f,0.08
2019,179,N/A,N/A,N/A,f,1,f,-33.9053787,151.2523859,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,80,1,0,5,12,0,,,,,,,,f,strict_14_with_grace_period,f,f,
2020,120,N/A,N/A,N/A,f,1,f,-33.75364567,151.2929355,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,,,1,0,3,15,0,,,,,,,,f,flexible,f,f,
2021,386,within an hour,1,0.88,t,51,f,-33.6070742,151.3288454,House,Entire home/apt,8,2,4,5,Real Bed,1000,500,1,0,2,90,0,,,,,,,,t,super_strict_60,f,f,
2022,141,within an hour,1,1,f,50,f,-33.8856859,151.1968569,Townhouse,Entire home/apt,4,1,1,1,Real Bed,500,110,2,45,2,1124,17,85,8,8,9,9,9,8,t,strict_14_with_grace_period,f,f,1.34
2023,401,within an hour,1,0.97,t,1,f,-33.90683049,151.1521507,House,Entire home/apt,16,2.5,6,16,Real Bed,500,100,8,40,3,1125,100,97,10,10,10,10,10,9,f,moderate,f,f,2.35
2024,499,N/A,N/A,N/A,f,1,f,-33.90241681,151.1743307,House,Entire home/apt,8,2,2,4,Real Bed,1000,200,1,0,5,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
2025,99,within an hour,1,1,f,1,f,-33.89108134,151.2736079,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,140,1,0,2,30,22,90,9,9,10,9,10,9,f,flexible,f,f,0.97
2026,141,N/A,N/A,N/A,f,2,t,-33.92595215,151.2584067,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,4,1125,1,100,10,10,10,10,8,8,f,flexible,f,f,0.02
2027,107,within an hour,1,1,f,5,f,-33.79817556,151.1754803,Apartment,Private room,3,3.5,1,3,Real Bed,300,30,1,20,5,1125,13,78,8,8,8,9,10,8,t,strict_14_with_grace_period,f,f,0.26
2028,191,within an hour,1,1,t,1,t,-33.84050087,151.2133984,House,Entire home/apt,5,2.5,2,3,Real Bed,1000,200,1,0,2,1125,101,99,10,10,10,10,10,10,t,moderate,f,f,2.06
2029,179,within an hour,1,0.97,t,3,f,-33.87665692,151.232286,Apartment,Entire home/apt,3,1,1,1,Real Bed,750,65,2,40,1,1000,156,95,9,9,9,10,9,9,t,strict_14_with_grace_period,f,f,4.31
2030,168,within an hour,1,1,f,6,f,-33.9295893,151.1544429,Apartment,Entire home/apt,6,2,2,2,Real Bed,350,130,4,10,1,1125,59,92,10,9,9,10,10,9,t,strict_14_with_grace_period,f,f,3.25
2031,81,N/A,N/A,N/A,f,1,t,-33.90090436,151.2050792,Apartment,Private room,1,1,1,1,Real Bed,200,50,1,0,2,1125,0,,,,,,,,t,moderate,f,f,
2032,100,N/A,N/A,N/A,f,1,f,-33.91366347,151.1051692,Townhouse,Private room,1,1,1,1,Real Bed,,,1,0,1,1125,0,,,,,,,,t,flexible,f,f,
2033,200,N/A,N/A,N/A,f,1,t,-33.88602807,151.2154172,House,Entire home/apt,4,1,2,4,Real Bed,,50,1,0,3,1125,10,87,9,8,10,10,10,10,f,strict_14_with_grace_period,f,f,0.24
2034,42,within an hour,1,0.99,f,9,f,-33.88748852,151.2070764,House,Shared room,1,2.5,1,0,Real Bed,,,1,0,1,60,1,40,2,4,2,2,6,6,t,moderate,f,f,0.18
2035,120,N/A,N/A,N/A,f,1,t,-33.88741577,151.2708618,Other,Entire home/apt,2,1,0,1,Real Bed,0,45,1,0,2,14,3,87,10,7,10,10,10,10,f,moderate,f,f,0.11
2036,132,within an hour,1,1,f,4,f,-33.88170691,151.2096202,Apartment,Entire home/apt,6,1,2,3,Real Bed,0,49,4,25,1,1125,38,85,8,9,9,9,10,8,t,moderate,f,f,2.3
2037,220,within an hour,1,1,f,0,f,-33.89019181,151.269076,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,20,3,30,1,1125,33,94,9,9,10,10,10,9,t,moderate,f,f,1.86
2038,37,within an hour,1,0.98,f,4,f,-33.76799498,151.0724567,Villa,Private room,1,2,1,1,Real Bed,0,15,1,18,2,1125,13,98,10,10,10,10,9,10,t,flexible,f,f,0.46
2039,78,N/A,N/A,N/A,f,2,f,-33.9208283,151.2281341,House,Entire home/apt,3,1,1,1,Real Bed,0,10,1,10,1,1125,0,,,,,,,,t,flexible,f,f,
2040,143,within an hour,1,1,t,1,f,-33.96650373,151.1093148,Apartment,Entire home/apt,6,1,2,3,Real Bed,300,60,2,12,1,1125,62,94,10,10,10,10,10,9,t,strict_14_with_grace_period,f,f,4.65
2041,120,within an hour,1,0.81,f,2,t,-33.86462843,151.2799109,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,100,2,30,3,30,7,97,10,9,10,10,10,9,t,strict_14_with_grace_period,t,t,0.46
2042,110,N/A,N/A,N/A,f,1,t,-33.90347234,151.2090159,Apartment,Entire home/apt,4,1,1,2,Real Bed,200,40,2,35,3,31,0,,,,,,,,f,moderate,f,f,
2043,250,N/A,N/A,N/A,f,1,f,-33.82834059,151.1373827,Townhouse,Entire home/apt,6,2,3,6,Real Bed,0,60,1,0,2,10,8,98,10,10,10,10,10,10,t,moderate,f,f,0.25
2044,69,N/A,N/A,N/A,f,1,f,-33.8721156,151.2268189,Apartment,Private room,2,1,1,1,Real Bed,450,100,1,40,3,1125,8,98,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,0.13
2045,200,N/A,N/A,N/A,f,1,f,-33.92382641,151.1587014,House,Entire home/apt,5,2,4,6,Real Bed,0,100,1,0,4,20,1,,,,,,,,f,strict_14_with_grace_period,f,f,0.05
2046,270,N/A,N/A,N/A,f,1,f,-33.82124863,151.2056602,Townhouse,Entire home/apt,4,2,3,2,Real Bed,,,1,0,7,1125,0,,,,,,,,f,flexible,f,f,
2047,141,within a few hours,1,0.84,t,4,t,-33.79622121,151.2860099,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,90,1,0,3,1125,47,91,9,9,9,10,10,9,f,strict_14_with_grace_period,f,f,0.89
2048,99,within a few hours,1,N/A,f,0,t,-33.9097524,151.1029133,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,2,10,2,30,6,100,10,10,10,10,10,10,t,flexible,f,f,0.24
2049,100,N/A,N/A,1,f,1,f,-33.89114709,151.2544757,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,120,1,0,2,1125,1,100,10,8,10,10,10,10,t,strict_14_with_grace_period,f,f,0.1
2050,168,within an hour,1,1,f,0,f,-33.87364041,151.1927967,Apartment,Entire home/apt,6,1,2,3,Real Bed,200,149,4,20,1,1125,19,97,10,10,10,10,10,9,t,strict_14_with_grace_period,f,f,4.07
2051,42,N/A,N/A,N/A,f,1,f,-33.92325357,151.210989,House,Private room,1,1,1,1,Real Bed,0,7,1,0,3,1125,1,100,10,10,10,10,10,10,t,flexible,f,f,0.07
2052,255,N/A,N/A,0,f,1,f,-33.91976448,151.2535101,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,65,1,0,2,1125,2,100,10,10,10,10,10,9,f,moderate,f,f,0.14
2053,181,within a few hours,1,0.67,f,1,t,-33.7544718,151.2950126,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,70,1,0,3,28,1,100,10,10,10,10,10,10,f,moderate,f,f,0.37
2054,80,within a day,0.5,0.17,f,1,f,-33.77766747,151.2804864,House,Private room,2,1,1,1,Real Bed,,,1,0,1,1125,10,100,10,10,10,10,10,10,f,flexible,f,f,0.24
2055,270,N/A,N/A,1,f,0,t,-33.87171154,151.2229801,Apartment,Entire home/apt,4,1,1,1,Real Bed,,,1,0,3,1125,1,80,10,6,10,8,10,10,f,flexible,f,f,0.41
2056,237,within an hour,1,1,t,2,f,-33.88925982,151.2795629,Apartment,Entire home/apt,2,1,1,1,Real Bed,555,115,1,88,1,21,109,94,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,1.64
2057,200,within an hour,1,1,f,38,f,-33.87117473,151.2217549,House,Entire home/apt,6,1.5,2,4,Real Bed,500,150,6,30,2,1125,22,83,9,8,10,10,10,9,t,strict_14_with_grace_period,f,f,3.06
2058,140,N/A,N/A,N/A,f,1,t,-33.8995784,151.2127787,Apartment,Entire home/apt,4,2,2,3,Real Bed,0,50,1,0,4,21,4,100,10,10,10,10,10,10,t,flexible,f,f,0.17
2059,229,within a few hours,0.9,0.41,f,165,f,-33.86787348,151.2037979,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,80,1,0,7,1125,1,100,10,10,10,10,10,8,f,strict_14_with_grace_period,f,f,0.41
2060,50,N/A,N/A,N/A,f,1,f,-33.89254998,151.199325,Apartment,Private room,2,1,1,1,Real Bed,300,30,1,15,3,124,1,40,10,6,6,8,10,8,f,moderate,f,f,0.05
2061,124,within an hour,1,0.98,f,24,f,-33.81677796,151.2426216,Apartment,Entire home/apt,4,1,1,3,Real Bed,500,130,2,35,1,1125,21,90,10,10,10,10,9,9,t,moderate,f,f,0.95
2062,65,N/A,N/A,N/A,f,1,f,-33.86022322,151.1765593,House,Private room,2,1,1,1,Real Bed,0,25,1,25,1,14,3,100,10,10,10,10,10,9,f,flexible,f,f,0.14
2063,220,N/A,N/A,N/A,f,1,t,-33.89566051,151.2128071,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,7,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
2064,200,within a day,0.9,0.83,t,2,f,-33.91632239,151.2016779,Apartment,Entire home/apt,5,2,2,2,Real Bed,0,100,5,30,1,1125,30,96,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,2.54
2065,100,N/A,N/A,N/A,f,1,t,-33.82845626,151.2264676,Apartment,Entire home/apt,2,1,1,1,Real Bed,,80,1,0,3,1125,1,100,8,10,10,10,10,10,f,moderate,f,f,0.02
2066,170,within an hour,1,1,f,6,f,-33.8769899,151.1982691,Condominium,Entire home/apt,6,1,2,3,Real Bed,500,119,4,15,2,1000,12,97,9,10,9,10,10,9,t,strict_14_with_grace_period,f,f,2.79
2067,150,N/A,N/A,N/A,f,1,f,-33.88611835,151.2660085,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,60,120,0,,,,,,,,f,flexible,f,f,
2068,129,within a few hours,0.93,0.98,f,3,f,-33.876741,151.212457,Serviced apartment,Entire home/apt,2,1,1,1,Real Bed,200,0,2,49,1,1125,5,96,8,8,9,9,10,9,t,flexible,f,f,0.43
2069,326,within an hour,1,0.9,f,2,t,-33.88232181,151.2731371,House,Entire home/apt,3,2,2,2,Real Bed,1500,239,2,70,5,50,23,96,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,0.64
2070,105,N/A,N/A,0.75,f,1,f,-33.87963864,151.1149317,Apartment,Entire home/apt,2,1,0,1,Real Bed,200,50,1,20,3,30,2,90,9,9,10,10,10,10,f,flexible,f,f,0.24
2071,100,within an hour,1,1,t,2,t,-33.8861292,151.2742343,House,Private room,2,1,1,1,Real Bed,400,70,1,40,2,1124,57,98,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,1.8
2072,301,within a day,0.5,0,f,1,t,-33.88937576,151.2725386,Apartment,Entire home/apt,4,1,2,2,Real Bed,300,100,1,0,4,28,1,,,,,,,,t,strict_14_with_grace_period,f,f,0.06
2073,50,N/A,N/A,N/A,f,1,f,-33.87135948,151.2289043,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,21,28,0,,,,,,,,t,flexible,f,f,
2074,85,within an hour,1,0.93,f,38,f,-33.7973685,151.1795508,Apartment,Entire home/apt,2,1,0,,Real Bed,0,180,1,0,3,1125,2,100,10,10,9,10,10,8,t,strict_14_with_grace_period,f,f,1.4
2075,283,within an hour,0.97,0.99,t,9,f,-33.79519522,151.2870839,Apartment,Entire home/apt,7,1,2,4,Real Bed,500,200,5,20,3,150,82,97,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,3.25
2076,129,within an hour,1,0.77,t,2,t,-33.90491661,151.2131698,Apartment,Entire home/apt,2,1,1,1,Real Bed,1000,150,2,80,7,1125,18,99,10,10,10,10,10,9,f,moderate,f,f,0.67
2077,212,within an hour,0.95,1,f,15,f,-33.84858679,151.0744159,Apartment,Entire home/apt,5,2,2,3,Real Bed,200,69,5,30,1,1125,83,91,10,9,9,9,10,9,t,strict_14_with_grace_period,f,f,6.69
2078,141,within an hour,1,1,f,11,f,-33.8723123,151.2235922,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,150,1,0,3,365,16,95,10,10,9,10,10,10,t,super_strict_30,f,f,1.59
2079,90,N/A,N/A,N/A,f,1,f,-33.79572479,151.2532633,Apartment,Private room,1,1,1,1,Real Bed,0,0,1,25,1,1125,7,100,10,10,10,10,10,10,t,flexible,f,f,0.26
2080,150,N/A,N/A,1,f,2,f,-33.89166254,151.2556659,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,4,1125,0,,,,,,,,f,flexible,f,f,
2081,351,N/A,N/A,N/A,f,2,f,-33.89361514,151.2552401,House,Entire home/apt,11,2,4,5,Real Bed,150,241,8,25,2,29,5,88,9,9,10,10,9,9,f,strict_14_with_grace_period,f,f,0.11
2082,351,N/A,N/A,N/A,f,1,f,-33.68976085,151.3032165,House,Entire home/apt,8,2.5,4,4,Real Bed,0,150,1,0,7,20,1,,,,,,,,t,moderate,f,f,0.08
2083,136,N/A,N/A,N/A,f,1,f,-33.77725923,151.1704847,House,Private room,2,1,1,1,Real Bed,135,,1,0,2,1125,0,,,,,,,,t,flexible,f,f,
2084,129,within a few hours,1,0.8,f,1,t,-33.91791394,151.2589011,Apartment,Entire home/apt,2,1,2,2,Real Bed,0,50,1,0,3,28,3,100,10,9,10,10,10,10,f,strict_14_with_grace_period,f,f,0.08
2085,81,N/A,N/A,N/A,f,1,f,-33.94256875,151.2555876,Apartment,Private room,2,1,1,2,Real Bed,150,30,1,0,1,1125,0,,,,,,,,f,moderate,f,f,
2086,57,N/A,N/A,N/A,f,1,f,-33.78273995,151.0636756,House,Private room,2,1,1,1,Real Bed,,,1,0,1,1125,53,92,9,10,10,10,9,10,t,strict_14_with_grace_period,f,f,2.18
2087,81,within a few hours,1,0.89,f,2,f,-33.89665168,151.1982989,Apartment,Private room,2,1,1,1,Real Bed,0,100,1,0,5,1125,2,100,10,10,10,9,10,9,f,flexible,f,f,0.33
2088,50,N/A,N/A,N/A,f,2,t,-33.78404658,151.0439854,Apartment,Private room,1,1,1,1,Real Bed,132,50,1,20,1,1125,0,,,,,,,,f,flexible,f,f,
2089,160,within an hour,0.97,0.87,f,49,f,-33.9077529,151.2043919,Apartment,Entire home/apt,4,2,2,4,Real Bed,0,150,1,0,2,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
2090,36,N/A,N/A,1,f,1,f,-33.95471643,151.1398054,Apartment,Private room,1,1,1,1,Real Bed,,,1,0,2,10,2,100,10,10,10,10,10,10,t,flexible,f,f,0.21
2091,108,within an hour,1,1,t,1,t,-33.88523472,151.2125104,House,Private room,2,1,1,1,Real Bed,250,60,1,0,2,13,91,98,10,10,10,10,10,10,f,moderate,f,f,1.23
2092,250,within a day,1,0.77,f,2,f,-33.89914055,151.1884342,House,Entire home/apt,4,1.5,1,3,Real Bed,900,150,1,0,5,28,3,93,10,9,10,10,10,9,f,strict_14_with_grace_period,f,f,0.08
2093,199,N/A,N/A,N/A,f,2,t,-33.88931474,151.2092464,House,Entire home/apt,5,2,3,3,Real Bed,800,,4,40,4,1125,2,100,10,10,10,10,9,10,f,strict_14_with_grace_period,f,f,0.03
2094,174,within an hour,1,0.99,f,8,t,-33.88979499,151.1282593,Apartment,Entire home/apt,6,2,2,3,Real Bed,0,70,4,20,1,1125,45,96,10,10,10,10,10,9,t,strict_14_with_grace_period,f,f,2.34
2095,40,N/A,N/A,N/A,f,1,f,-33.92332853,151.2090691,House,Private room,1,1,1,1,Real Bed,0,20,1,0,3,31,1,100,10,10,10,10,10,10,t,flexible,f,f,0.07
2096,165,N/A,N/A,0.4,f,2,t,-33.89237233,151.284917,Apartment,Entire home/apt,4,1,2,3,Real Bed,700,70,1,0,7,30,2,90,8,7,10,10,10,9,f,moderate,f,f,0.03
2097,54,within an hour,1,0.67,t,2,t,-33.70827168,151.1031203,Apartment,Private room,2,1,1,1,Real Bed,0,20,1,8,2,1125,40,98,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,1.26
2098,34,within an hour,1,1,f,1,f,-34.00371495,151.1267962,Apartment,Private room,2,1,1,1,Real Bed,150,60,1,20,1,365,5,84,9,9,8,8,10,8,t,strict_14_with_grace_period,f,f,0.72
2099,137,a few days or more,0,1,f,1,f,-33.87428505,151.112941,House,Private room,4,1,2,2,Real Bed,0,41,1,0,1,1125,4,90,10,10,10,10,10,9,t,flexible,f,f,0.73
2100,301,within an hour,1,1,t,3,t,-33.89318164,151.2152414,House,Entire home/apt,6,2,3,3,Real Bed,500,190,1,0,5,90,4,95,10,10,10,10,10,10,f,moderate,f,f,0.15
2101,100,within an hour,1,1,f,1,f,-33.79482136,151.2850359,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,10,14,3,90,10,10,10,10,10,10,f,moderate,f,f,0.12
2102,204,within an hour,1,0.37,f,1,f,-33.83060004,151.2035013,Apartment,Entire home/apt,7,2,3,3,Real Bed,,75,1,0,2,14,13,98,10,9,10,10,10,10,t,flexible,f,f,0.72
2103,110,N/A,N/A,N/A,f,1,t,-33.88560157,151.2366593,Apartment,Entire home/apt,2,1,1,1,Real Bed,,85,2,0,7,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
2104,100,N/A,N/A,0.5,f,2,f,-33.88904759,151.2775975,Apartment,Entire home/apt,3,1,1,2,Real Bed,0,80,2,30,7,1125,1,100,10,6,10,8,10,8,f,strict_14_with_grace_period,f,f,0.09
2105,65,within a few hours,1,0.6,f,1,f,-33.89120177,151.2086899,House,Private room,2,1,1,1,Real Bed,,,1,20,4,28,0,,,,,,,,t,moderate,f,f,
2106,110,within an hour,1,0.96,f,2,t,-33.88931372,151.1409456,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,70,1,30,3,20,2,70,9,9,9,9,7,6,f,moderate,f,f,0.4
2107,246,N/A,N/A,N/A,f,1,f,-33.8850189,151.2664129,Apartment,Entire home/apt,3,2,2,2,Real Bed,500,60,1,0,7,1125,1,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.02
2108,39,within a few hours,0.95,0.63,f,0,f,-33.87291927,151.1948793,Apartment,Shared room,1,2,1,1,Real Bed,350,0,1,38,90,1125,0,,,,,,,,f,moderate,f,f,
2109,61,N/A,N/A,0,f,1,t,-33.88850918,151.275136,Apartment,Private room,1,1,1,1,Real Bed,,,1,0,7,60,1,,,,,,,,t,flexible,f,f,0.07
2110,74,N/A,N/A,1,f,1,f,-33.89669387,151.2727009,House,Private room,2,1,1,1,Real Bed,,,1,0,2,18,34,92,9,9,10,10,10,9,t,flexible,f,f,1.51
2111,179,within an hour,1,0.85,t,15,f,-33.88783571,151.271564,Apartment,Entire home/apt,3,1,1,1,Real Bed,299,109,2,25,2,1125,10,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,2.44
2112,81,within a day,1,1,f,2,f,-33.86648086,151.0918498,Apartment,Private room,2,1,1,1,Real Bed,0,10,1,10,2,1125,0,,,,,,,,f,flexible,f,f,
2113,301,within an hour,1,0.88,f,105,f,-33.89360837,151.2623993,Apartment,Entire home/apt,2,1,1,1,Real Bed,1000,120,1,0,5,1125,1,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.14
2114,141,N/A,N/A,N/A,f,3,t,-33.88110161,151.1696648,House,Private room,5,1,1,1,Real Bed,300,,4,35,5,365,51,84,9,8,10,9,9,9,f,strict_14_with_grace_period,f,f,0.6
2115,50,N/A,N/A,N/A,f,2,f,-33.87593559,151.0942704,Apartment,Private room,2,1,2,2,Real Bed,150,30,1,15,1,7,1,100,10,10,10,10,10,10,f,moderate,f,f,0.04
2116,34,within a few hours,1,1,f,1,t,-33.73217134,151.1054761,House,Private room,1,2,1,2,Real Bed,,,1,0,7,1125,2,80,10,7,10,10,8,10,t,moderate,f,f,0.87
2117,165,within an hour,0.99,0.99,f,19,f,-33.88687097,151.2744013,Apartment,Entire home/apt,6,1,1,5,Real Bed,150,95,3,20,1,365,6,97,9,9,10,10,10,10,t,strict_14_with_grace_period,f,f,1.65
2118,250,within a few hours,1,0.96,t,2,f,-33.89095852,151.2741022,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,130,1,0,2,180,95,96,10,10,10,10,10,9,f,moderate,f,f,1.4
2119,110,within a day,0.75,0.71,f,1,f,-33.91887679,151.2549821,Apartment,Private room,2,1,1,1,Real Bed,250,50,1,0,2,160,3,100,9,10,10,10,10,9,f,strict_14_with_grace_period,f,f,0.54
2120,250,N/A,N/A,N/A,f,1,t,-33.90691042,151.1827837,House,Entire home/apt,6,2,3,4,Real Bed,150,,1,0,5,28,7,74,8,6,9,9,9,7,f,moderate,f,f,0.09
2121,284,within an hour,0.98,1,t,21,f,-33.86896047,151.2043594,Apartment,Entire home/apt,6,2,2,3,Real Bed,500,100,4,30,1,1125,154,97,10,10,10,10,10,9,t,strict_14_with_grace_period,f,f,4.57
2122,40,within a few hours,0.95,0.63,f,0,f,-33.87415842,151.1940753,Apartment,Shared room,1,2,1,1,Real Bed,350,0,1,40,14,1125,0,,,,,,,,f,moderate,f,f,
2123,141,N/A,N/A,0,f,1,f,-33.89056546,151.2734504,Apartment,Entire home/apt,2,1,0,1,Real Bed,0,30,1,30,5,50,14,98,10,10,10,10,10,10,f,flexible,f,f,0.51
2124,150,within an hour,1,1,f,0,t,-33.96541719,151.1478371,Apartment,Entire home/apt,4,1,2,4,Real Bed,,75,1,0,2,7,3,93,10,9,9,10,10,10,t,moderate,f,f,1.2
2125,200,N/A,N/A,N/A,f,1,t,-33.86395331,151.2087921,Apartment,Entire home/apt,4,1,1,2,Real Bed,0,150,1,0,3,1125,6,90,10,8,10,9,10,8,t,strict_14_with_grace_period,f,f,0.22
2126,191,N/A,N/A,N/A,f,1,f,-33.85835912,151.1800126,House,Entire home/apt,4,2.5,2,2,Real Bed,0,50,2,25,2,1125,6,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.18
2127,170,within an hour,1,1,f,7,t,-33.83001384,151.208927,Boutique hotel,Hotel room,2,1,1,1,Real Bed,0,0,2,10,1,1125,1,,,,,,,,t,flexible,f,f,0.15
2128,65,N/A,N/A,1,f,1,f,-33.88295264,151.1955804,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,5,1125,2,100,10,10,10,10,10,10,t,flexible,f,f,0.29
2129,65,within an hour,1,0.78,t,1,f,-33.77742451,151.2783737,Apartment,Private room,2,1,0,2,Real Bed,200,40,2,15,2,1125,43,96,10,10,10,10,10,9,f,moderate,f,f,1.46
